#ID	Complex Name	Core*
1	U1 snRNP 	Luc7 Mud1 Nam8 Prp39 Prp40 Prp42 Snp1 Snu56 Snu71 Yhc1
2	20S core particle of the proteasome 	Pre10 Pre2 Pre3 Pre6 Pre8 Pup3 Scl1 
3	Lsm2-Lsm8 complex 	Lsm2 Lsm4 Lsm6 Lsm7 Pat1
4	Casein kinase II complex	Cka1 Cka2 Ckb1 Ckb2
5	Complex 5	Dbp2 Rpl2a
6	Complex 6	Ecm5 Psd2 Yfr006w Yol054w
7	Complex 7	Nsa1 Rpf1
8	m-AAA protease complex	Afg3 Phb2 Yta12
9	Mitochondrial ribosomal small subunit	Ehd3 Mrp1 Mrp13 Mrp17 Mrp21 Mrp4 Mrp51 Mrps16 Mrps17 Mrps18 Mrps28 Mrps5 Mrps8 Mrps9 Nam9 Pet123 Rsm10 Rsm19 Rsm22 Rsm23 Rsm25 Rsm27 Rsm7
10	Complex 10	Mae1
11	Complex 11	Nob1
12	Complex 12	Mot1
13	Trehalose-6-phosphate synthase/ phosphatase complex	Gln1 Mcm2 Mks1 Tsc10
14	V0 vacuolar ATPase complex	Emi2 Vma6 Vph2
15	Complex 15	Rps25a Rrn3
16	Complex 16	Pph3 Psy2 Ybl046w
17	Complex 17	Bcp1 Ypl208w
18	Complex 18	Hca4
19	Complex 19	Ist2
20	Complex 20	Loc1 Rpl9a
21	Complex 21	Shm1
22	Sin3 Histone deacetylase complex	Cti6 Rpd3 Rxt3 Sap30 Sds3 Sin3 Ume1 Ymr075w
23	Complex 23	Emg1 Kre33 Krr1 Noc4 Nop14 Ygr145w
24	Complex 24	Bud20
25	DNA repair complex	Mph1 Msh6 Rad52 Rfa1
26	Complex 26	Met18 Rad3
27	Complex 27	Nop14 Utp8
28	Complex 28	 
29	Gcn1/Gcn2/Gcn20 complex 	Gcn1 Gcn20
30	RNA polymerase I	Rpa12 Rpa190 Rpa43 Rpa49 Rpc40
31	mRNA decapping complex	Dcp1 Dcp2 Edc3
32	Ribosome-associated complex   (RAC)	Scp160 Ssz1 Zuo1
33	U2 snRNP 	Cus1 Hsh155 Hsh49 Lea1 Msl1 Prp11 Prp21 Prp9 Rse1
34	Scs2/Opi1 complex	Swh1
35	Sit4/Sap190 complex	Sap190
36	Complex  36	Fur1 Sar1 Ydr341c Ynk1
37	Complex 37	 
38	RNA polymerase III complex 	Ret1 Rpc25 Rpc31 Rpc34 Rpc37 Rpc40 Rpc53 Rpc82 Rpo31
39	Complex 39	Bud20 Ipi3 Nog1 Nog2 Nsa2 Nug1 Rix1 Rpf2 Sda1 Ycr072c
40	Cyr1/Srv2   complex	Cyr1 Pho81 Srv2
41	Complex 41	Dbp8 Esf1 Mvd1
42	Cytoskeleton-regulatory Lsb3/Las17 complex 	Las17 Lsb3 Sla1
43	Nup82/Nsp1/Nup159 nuclear pore subcomplex	Nsp1 Nup159 Nup82
44	Actin-associated motorproteins 1 complex	Myo2 She4
45	Translation initiation factor eIF3 complex	Fun12 Hcr1 Nip1 Prt1 Rli1 Rpg1 Tif34 Tif35 Tif5
46	Clathrin	Chc1 Clc1
47	Complex 47	Nap1 Nis1 Yol070c
48	Complex 48	Nop8 Urb1 Urb2
49	Actin-associated motorproteins 2 complex	Mlc1 Myo4 She2 She3
50	Complex 50	Lsg1 Nmd3 Rei1
51	Complex 51	 Gdb1 Mir1
52	Signal recognition complex 	Sec65 Srp14 Srp54 Srp68 Srp72
53	Erv41/Erv46 complex	Ero1 Erv41 Erv46
54	Complex 54	 
55	Complex 55	Loc1
56	Complex 56	Brx1 Erb1 Mak21 Noc2 Nop4 Puf6
57	NuA4 Histone Acetyltransferase Complex 	Epl1 Esa1
58	Complex 58	Hrr25 Ltv1 Nob1 Rio2 Tsr1
59	V1 vacuolar ATPase complex 	Vma13 Vma4 Vma5 Vma7 Vma8
60	Mitochondrial ribosomal large subunit	Atg26 Bud3 Mrpl10 Mrpl16 Mrpl23 Mrpl4 Mrpl51
